,Sentence,Annotation
701,最后，他不能告诉身边任何人，即便是斯派克。,"最后 f
， x
他 r
不能 v
告诉 v
身边 s
任何人 r
， x
即便 c
是 v
斯派克 nr
。 x
"
702,乔治·华盛顿的密码数字是711。,"乔治 nr
· x
华盛顿 ns
的 uj
密码 n
数字 n
是 v
711 m
。 x
"
703,它也被称为'LE'或'层粘连蛋白型EGF样'结构域。,"它 r
也 d
被 p
称为 v
' x
LE eng
' x
或 c
' x
层 q
粘连 v
蛋白 n
型 k
EGF eng
样 n
' x
结构域 n
。 x
"
704,133Xe也被用于测量血流。,"133 m
Xe eng
也 d
被 p
用于 v
测量 vn
血流 n
。 x
"
705,它以前被称为公民媒体法项目。,"它 r
以前 f
被 p
称为 v
公民 n
媒体 n
法 j
项目 n
。 x
"
706,伊拉克的解放实际上是最罕见的事情 - 英国外交政策的成功。,"伊拉克 nrt
的 uj
解放 v
实际上 d
是 v
最 d
罕见 a
的 uj
事情 n
  x
- x
  x
英国 ns
外交政策 n
的 uj
成功 a
。 x
"
707,请复制给你知道的每个人，特别是女性。,"请 v
复制 v
给 p
你 r
知道 v
的 uj
每个 r
人 n
， x
特别 d
是 v
女性 n
。 x
"
708,Telecine(12.5%) 经营在巴西的5个有线电视电影频道。,"Telecine eng
( x
12.5 m
% x
) x
  x
经营 vn
在 p
巴西 ns
的 uj
5 m
个 m
有线电视 l
电影频道 n
。 x
"
709,Haml在这方面是否提供了有差异的优势，这点尚不清晰。,"Haml eng
在 p
这方面 mq
是否 v
提供 v
了有 v
差异 n
的 uj
优势 n
， x
这点 mq
尚 d
不 d
清晰 a
。 x
"
710,然而他们可以改变自身的财务使命，也就是他们在实际行为中如何表达自身的财务特性的方式。,"然而 c
他们 r
可以 c
改变 v
自身 r
的 uj
财务 n
使命 v
， x
也 d
就是 d
他们 r
在 p
实际 n
行为 v
中 f
如何 r
表达 v
自身 r
的 uj
财务 n
特性 n
的 uj
方式 n
。 x
"
711,尽管有立法，社会对巴迪人的歧视仍在继续。,"尽管 c
有 v
立法 d
， x
社会 n
对 p
巴迪人 nrt
的 uj
歧视 v
仍 d
在 p
继续 v
。 x
"
712,Mill认为它是一个词。,"Mill eng
认为 v
它 r
是 v
一个 m
词 n
。 x
"
713,恐惧研究表明，孩子的恐惧可以分为五类。,"恐惧 an
研究 vn
表明 v
， x
孩子 n
的 uj
恐惧 an
可以 c
分为 v
五类 m
。 x
"
714,在他们挂断电话前，罗杰斯警告他“你的明天再也不会是一样的”。,"在 p
他们 r
挂断 v
电话 n
前 f
， x
罗杰斯 nr
警告 n
他 r
“ x
你 r
的 uj
明天 t
再也不会 l
是 v
一样 r
的 uj
” x
。 x
"
715,里根总统说，它还会提醒美国人教师和教育在他们国家的重要作用。,"里根 ns
总统 n
说 v
， x
它 r
还 d
会 v
提醒 v
美国 ns
人 n
教师 n
和 c
教育 vn
在 p
他们 r
国家 n
的 uj
重要 a
作用 v
。 x
"
716,对所说的话和所做的事没有自觉，许多时候都惹人愤怒（特别是美里）。,"对 p
所说 c
的话 u
和 c
所做 v
的 uj
事 n
没有 v
自觉 d
， x
许多 m
时候 n
都 d
惹 v
人 n
愤怒 v
（ x
特别 d
是 v
美里 q
） x
。 x
"
717,但是在当时，林肯还不愿意做这样的声明，以免他恶化了一场农业危机。,"但是 c
在 p
当时 t
， x
林肯 nr
还 d
不 d
愿意 v
做 v
这样 r
的 uj
声明 n
， x
以免 c
他 r
恶化 v
了 ul
一场 m
农业 n
危机 n
。 x
"
718,一伙吉尔吉斯人要求将一座以乌兹别克人为主的集体农场交给他们。,"一伙 m
吉尔吉斯 nrt
人 n
要求 v
将 d
一座 m
以 p
乌兹别克 ns
人 n
为主 v
的 uj
集体 n
农场 n
交给 v
他们 r
。 x
"
719,然而，坎贝尔（2005）关注了1907-1914年的经济弱点，将公众需求与进步主义干预联系在一起。,"然而 c
， x
坎贝尔 nrt
（ x
2005 m
） x
关注 v
了 ul
1907 m
- x
1914 m
年 m
的 uj
经济 n
弱点 n
， x
将 d
公众 n
需求 v
与 p
进步 d
主义 n
干预 v
联系 n
在 p
一起 m
。 x
"
720,在宣布这一消息的时候，每天有200人申请在奥地利避难。,"在 p
宣布 v
这 r
一 m
消息 n
的 uj
时候 n
， x
每天 r
有 v
200 m
人 n
申请 v
在 p
奥地利 ns
避难 v
。 x
"
721,Zameen.com也有一本房地产杂志。,"Zameen eng
. m
com eng
也 d
有 v
一本 m
房地产 j
杂志 n
。 x
"
722,而朋友拒绝相信帕祖祖正在利用他们这件事。,"而 c
朋友 n
拒绝 v
相信 v
帕祖祖 nr
正在 t
利用 n
他们 r
这件 mq
事 n
。 x
"
723,这些步枪从来没有被修改为后期型的Ag m/42B版本。,"这些 r
步枪 n
从来 d
没有 v
被 p
修改 v
为 p
后期 t
型 k
的 uj
Ag eng
  x
m x
/ x
42 m
B eng
版本 n
。 x
"
724,然而，穷人依旧留在旧城。,"然而 c
， x
穷人 n
依旧 z
留在 v
旧城 ns
。 x
"
725,美国红十字会重组并专业化。,"美国红十字会 nt
重组 vn
并 c
专业化 n
。 x
"
726,除了大使之外，大使馆还包括13个旨在加强美国和以色列之间关系的部门。,"除了 p
大使 n
之外 f
， x
大使馆 n
还 d
包括 v
13 m
个 m
旨在 v
加强 v
美国 ns
和 c
以色列 ns
之间 f
关系 n
的 uj
部门 n
。 x
"
727,（1999年以前为合成欧元XEU）。,"（ x
1999 m
年 m
以前 f
为 p
合成 v
欧元 nz
XEU eng
） x
。 x
"
728,他们不明白任何其他语言”。,"他们 r
不 d
明白 nr
任何 r
其他 r
语言 n
” x
。 x
"
729,在1947年和1951年之间，一个教育出版社和他的妻子和五个孩子使用它作为他们的家庭。,"在 p
1947 m
年 m
和 c
1951 m
年 m
之间 f
， x
一个 m
教育 vn
出版社 n
和 c
他 r
的 uj
妻子 n
和 c
五个 m
孩子 n
使用 v
它 r
作为 v
他们 r
的 uj
家庭 n
。 x
"
730,不过，他指出，Artpop一般没有给出一个总体印象。,"不过 c
， x
他 r
指出 v
， x
Artpop eng
一般 a
没有 v
给出 v
一个 m
总体 n
印象 n
。 x
"
731,同年，两国决定与黑山在阿尔巴尼亚边界建立联合核电厂。,"同年 t
， x
两 m
国 n
决定 v
与 p
黑山 ns
在 p
阿尔巴尼亚 nrt
边界 n
建立 v
联合 v
核电厂 n
。 x
"
732,第四世达赖喇嘛于1601年来到西藏。,"第四 m
世 n
达赖喇嘛 n
于 p
1601 m
年 m
来到 v
西藏 ns
。 x
"
733,Adobe宣称没有制定PDF 1.8参考。,"Adobe eng
宣称 v
没有 v
制定 v
PDF eng
  x
1.8 m
参考 v
。 x
"
734,在最近的几年中，他为世界银行做了相当大量的工作。,"在 p
最近 f
的 uj
几年 m
中 f
， x
他 r
为 p
世界银行 nt
做 v
了 ul
相当 d
大量 n
的 uj
工作 vn
。 x
"
735,邦尼国王（现今为尼日利亚）对此感到惊恐： 我们认为这一贸易必须继续下去。,"邦尼 nrt
国王 n
（ x
现今 t
为 p
尼日利亚 ns
） x
对此 d
感到 v
惊恐 a
： x
  x
我们 r
认为 v
这 r
一 m
贸易 vn
必须 d
继续下去 i
。 x
"
736,他们否认了主的礼物，使其在他们的争论中消失。,"他们 r
否认 v
了主 v
的 uj
礼物 n
， x
使 v
其 r
在 p
他们 r
的 uj
争论 v
中 f
消失 n
。 x
"
737,这是每一个没有得到救恩的人的最后命运，在那里他们将因罪而受到惩罚。,"这 r
是 v
每 r
一个 m
没有 v
得到 v
救恩 v
的 uj
人 n
的 uj
最后 f
命运 n
， x
在 p
那里 r
他们 r
将 d
因 p
罪 n
而 c
受到 v
惩罚 vn
。 x
"
738,然而，并不存在历史的自然流向。,"然而 c
， x
并 c
不 d
存在 v
历史 n
的 uj
自然 d
流向 n
。 x
"
739,艾德勒说：“...我们的政治民主取决于我们学校的重建。,"艾 nr
德勒 nrt
说 v
： x
“ x
... m
我们 r
的 uj
政治 n
民主 n
取决于 v
我们 r
学校 n
的 uj
重建 a
。 x
"
740,这次“流放”持续了大约一年，在此期间，她修复城堡并在那里开始写她的回忆录。,"这次 r
“ x
流放 v
” x
持续 vd
了 ul
大约 d
一年 m
， x
在此期间 l
， x
她 r
修复 v
城堡 ns
并 c
在 p
那里 r
开始 v
写 v
她 r
的 uj
回忆录 n
。 x
"
741,多形态：所有运输方式中的酒精和药物测试。,"多 m
形态 n
： x
所有 b
运输 vn
方式 n
中 f
的 uj
酒精 n
和 c
药物 n
测试 vn
。 x
"
742,但是她的母亲原先想要她有个普通的童年生活。,"但是 c
她 r
的 uj
母亲 n
原先 d
想要 v
她 r
有个 r
普通 nz
的 uj
童年 t
生活 vn
。 x
"
743,2010年1月关于Icesave的争议成为一个问题。,"2010 m
年 m
1 m
月 m
关于 p
Icesave eng
的 uj
争议 n
成为 v
一个 m
问题 n
。 x
"
744,9月11日，一个瑞士官方代表团来到城市疏散非战斗人员。,"9 m
月 m
11 m
日 m
， x
一个 m
瑞士 ns
官方 n
代表团 n
来到 v
城市 ns
疏散 v
非战斗 nz
人员 n
。 x
"
745,该游戏基于StepMania 5。,"该游戏 n
基于 p
StepMania eng
  x
5 x
。 x
"
746,长沙地方的领主，亦为伟大兵法家孙武后裔。,"长沙 ns
地方 n
的 uj
领主 n
， x
亦 d
为 p
伟大 a
兵法 n
家 q
孙武 nr
后裔 n
。 x
"
747,在1998/1999年，它意外的明亮。,"在 p
1998 m
/ x
1999 m
年 m
， x
它 r
意外 a
的 uj
明亮 a
。 x
"
748,在同一演讲中他还解释了为什么冰岛没有兴趣采纳欧元。,"在 p
同一 b
演讲 v
中 f
他 r
还 d
解释 v
了 ul
为什么 r
冰岛 ns
没有 v
兴趣 n
采纳 v
欧元 nz
。 x
"
749,SODIS已经在许多发展中国家得到应用。,"SODIS eng
已经 d
在 p
许多 m
发展中国家 l
得到 v
应用 v
。 x
"
750,他知道我喜欢的口味和东西。,"他 r
知道 v
我 r
喜欢 v
的 uj
口味 n
和 c
东西 ns
。 x
"
751,据估计，多达2万名生活在波兰的德裔居民参与了涉及各种形式的颠覆的组织。,"据估计 n
， x
多达 nrt
2 x
万名 m
生活 vn
在 p
波兰 ns
的 uj
德裔 n
居民 n
参与 v
了 ul
涉及 v
各种 r
形式 n
的 uj
颠覆 v
的 uj
组织 v
。 x
"
752,”这个事件的“日子和时间”是未知的。,"” x
这个 r
事件 n
的 uj
“ x
日子 n
和 c
时间 n
” x
是 v
未知 v
的 uj
。 x
"
753,截至2012年五月，有300名GCHQ分析师和250名NSA分析师被指派整理数据。,"截至 v
2012 m
年 m
五月 t
， x
有 v
300 m
名 n
GCHQ eng
分析师 n
和 c
250 m
名 n
NSA eng
分析师 n
被 p
指派 n
整理 n
数据 n
。 x
"
754,GT500未能未能满足一些汽车记者的预期。,"GT500 eng
未能 v
未能 v
满足 v
一些 m
汽车 n
记者 n
的 uj
预期 vn
。 x
"
755,部分种植者失去了所有香蕉作物。,"部分 n
种植者 n
失去 v
了 ul
所有 b
香蕉 n
作物 n
。 x
"
756,大多数移民试图更进一步，尤其是到意大利。,"大多数 m
移民 n
试图 v
更进一步 l
， x
尤其 d
是 v
到 v
意大利 ns
。 x
"
757,他仍然保持FreeDOS活跃，目前是该项目的协调员。,"他 r
仍然 d
保持 v
FreeDOS eng
活跃 vn
， x
目前 t
是 v
该项 r
目的 n
协调员 n
。 x
"
758,2007年，他写了《Fast Women: The Legendary Ladies of Racing》一书。,"2007 m
年 m
， x
他 r
写 v
了 ul
《 x
Fast eng
  x
Women eng
: x
  x
The eng
  x
Legendary eng
  x
Ladies eng
  x
of eng
  x
Racing eng
》 x
一 m
书 n
。 x
"
759,她的第一次呼叫是在1908年1月15日，有一位男性掉出窗外。,"她 r
的 uj
第一次 m
呼叫 v
是 v
在 p
1908 m
年 m
1 m
月 m
15 m
日 m
， x
有 v
一位 m
男性 n
掉出 v
窗外 s
。 x
"
760,他展示了只提供有糖、橄榄油，或者只有黄油的食物，都导致了他的试验动物在30至40天内死亡。,"他 r
展示 v
了 ul
只 d
提供 v
有 v
糖 n
、 x
橄榄油 n
， x
或者 c
只有 c
黄油 n
的 uj
食物 n
， x
都 d
导致 v
了 ul
他 r
的 uj
试验 vn
动物 n
在 p
30 m
至 p
40 m
天内 s
死亡 v
。 x
"
761,保加利亚大部分常规发电站将在不久的将来需要大规模的现代化建设。,"保加利亚 ns
大部分 m
常规 n
发电站 n
将 d
在 p
不久 a
的 uj
将来 t
需要 v
大规模 b
的 uj
现代化 vn
建设 vn
。 x
"
762,粮食短缺和性别歧视使得一些妇女尤其脆弱。,"粮食 n
短缺 a
和 c
性别歧视 l
使得 v
一些 m
妇女 n
尤其 d
脆弱 a
。 x
"
763,该立法使以色列成为采用“北欧模式”的第十个国家。,"该 r
立法 d
使 v
以色列 ns
成为 v
采用 v
“ x
北欧 ns
模式 n
” x
的 uj
第十个 m
国家 n
。 x
"
764,从1950年代到2000年代，主要是右翼示威活动在这里上演。,"从 p
1950 m
年代 t
到 v
2000 m
年代 t
， x
主要 b
是 v
右翼 n
示威 n
活动 vn
在 p
这里 r
上演 v
。 x
"
765,"这些构成英格兰6,955所基督教信仰学校的一大部分。","这些 r
构成 v
英格兰 ns
6 x
, x
955 m
所 c
基督教 nz
信仰 n
学校 n
的 uj
一大部分 m
。 x
"
766,然而，许多慈善机构抱怨说，他们认为奥斯本的2016年预算有利于大企业，而不是残疾人。,"然而 c
， x
许多 m
慈善机构 n
抱怨 v
说 v
， x
他们 r
认为 v
奥斯本 ns
的 uj
2016 m
年 m
预算 v
有利于 v
大 a
企业 n
， x
而 c
不是 c
残疾人 n
。 x
"
767,希望明年战争将在叙利亚结束，和平将统治全世界。,"希望 v
明年 t
战争 n
将 d
在 p
叙利亚 ns
结束 v
， x
和平 nz
将 d
统治 v
全世界 n
。 x
"
768,“独立的司法机构是法治的基石，对我们的宪法和自由至关重要，”她写道。,"“ x
独立 v
的 uj
司法 n
机构 n
是 v
法治 n
的 uj
基石 n
， x
对 p
我们 r
的 uj
宪法 n
和 c
自由 a
至关重要 l
， x
” x
她 r
写道 v
。 x
"
769,西班牙：两年。,"西班牙 ns
： x
两年 m
。 x
"
770,1976年，它决定将其活动扩展到该国其他地区。,"1976 m
年 m
， x
它 r
决定 v
将 d
其 r
活动 vn
扩展 v
到 v
该国 r
其他 r
地区 n
。 x
"
771,在中国，自杀已经成为第五大主要死亡原因。,"在 p
中国 ns
， x
自杀 v
已经 d
成为 v
第五 m
大 a
主要 b
死亡 v
原因 n
。 x
"
772,他们对同化的缺乏也受到了攻击。,"他们 r
对 p
同化 j
的 uj
缺乏 v
也 d
受到 v
了 ul
攻击 v
。 x
"
773,Windows/386比其前任更先进。,"Windows eng
/ x
386 m
比 p
其 r
前任 n
更 d
先进 a
。 x
"
774,在同一时间，许多丹麦建筑师在哥本哈根和国外都取得了成功。,"在 p
同一时间 d
， x
许多 m
丹麦 ns
建筑师 n
在 p
哥本哈根 ns
和 c
国外 s
都 d
取得 v
了 ul
成功 a
。 x
"
775,Green决定于当局合作。,"Green eng
决定 v
于 p
当局 n
合作 vn
。 x
"
776,犹太社区组织几乎在一夜之间消失。,"犹太 nz
社区 n
组织 v
几乎 d
在 p
一夜之间 i
消失 n
。 x
"
777,全波兰的报纸和杂志中约有半数是在华沙印刷的。,"全 a
波兰 ns
的 uj
报纸 n
和 c
杂志 n
中约 ns
有 v
半数 m
是 v
在 p
华沙 ns
印刷 vn
的 uj
。 x
"
778,PSA欢迎了他们，甚至还卖给他们航班和运营培训。,"PSA eng
欢迎 v
了 ul
他们 r
， x
甚至 d
还 d
卖 v
给 p
他们 r
航班 n
和 c
运营 vn
培训 vn
。 x
"
779,在法国，最常见的拨号是“36 15”，而“36 17”被更昂贵的服务使用。,"在 p
法国 ns
， x
最 d
常见 a
的 uj
拨号 v
是 v
“ x
36 m
  x
15 m
” x
， x
而 c
“ x
36 m
  x
17 m
” x
被 p
更 d
昂贵 a
的 uj
服务 vn
使用 v
。 x
"
780,随后，俄罗斯迅速过渡到了第三阶段。,"随后 d
， x
俄罗斯 ns
迅速 ad
过渡 v
到 v
了 ul
第三阶段 t
。 x
"
781,卫星对纯121.5 MHz版本的支持已在2009年初停止。,"卫星 nr
对 p
纯 a
121.5 m
  x
MHz eng
版本 n
的 uj
支持 v
已 d
在 p
2009 m
年初 t
停止 v
。 x
"
782,到了（1913年）秋天我们所有的人都开始亲近伊涅萨。,"到 v
了 ul
（ x
1913 m
年 m
） x
秋天 t
我们 r
所有 b
的 uj
人 n
都 d
开始 v
亲近 d
伊涅萨 nr
。 x
"
783,它也是32年前ISIS II以来发射的第一颗加拿大科学卫星。,"它 r
也 d
是 v
32 m
年前 t
ISIS eng
  x
II eng
以来 f
发射 v
的 uj
第一颗 m
加拿大 ns
科学 n
卫星 nr
。 x
"
784,穆巴拉克还任命了近30年来的第一位副总统。,"穆巴拉克 nrt
还 d
任命 n
了近 v
30 m
年来 t
的 uj
第一位 m
副 b
总统 n
。 x
"
785,墨西哥要求朗姆酒的年龄至少为八个月；多米尼加共和国、巴拿马和委内瑞拉则需要两年时间。,"墨西哥 ns
要求 v
朗姆 nrt
酒 n
的 uj
年龄 n
至少 d
为 p
八个 m
月 m
； x
多米尼加共和国 ns
、 x
巴拿马 ns
和 c
委内瑞拉 ns
则 d
需要 v
两年 m
时间 n
。 x
"
786,他所受到的首批打击就是来自新教徒。,"他 r
所 u
受到 v
的 uj
首批 m
打击 v
就是 d
来自 v
新教徒 n
。 x
"
787,他只成功地捉住了几匹马。,"他 r
只 d
成功 a
地 uv
捉住 v
了 ul
几匹马 ns
。 x
"
788,彼使闻已，悉诣城主，受其教令，各还本处。,"彼 r
使 v
闻 v
已 d
， x
悉 ad
诣 v
城主 n
， x
受 v
其 r
教令 n
， x
各 r
还 d
本处 d
。 x
"
789,武则天时，以宰相兼馆主。,"武则天 nr
时 n
， x
以 p
宰相 n
兼 v
馆主 n
。 x
"
790,在接下来的几天里，我将为英国制定我的计划，我希望能够提供团结和变革。,"在 p
接下来 l
的 uj
几天 m
里 f
， x
我 r
将 d
为 p
英国 ns
制定 v
我 r
的 uj
计划 n
， x
我 r
希望 v
能够 v
提供 v
团结 a
和 c
变革 vn
。 x
"
791,全部15台机车在最初都被漆以绿色涂装。,"全部 n
15 m
台 ns
机车 n
在 p
最初 t
都 d
被 p
漆 n
以 p
绿色 n
涂装 v
。 x
"
792,尽管如此，中国政府一直对30万遇难者的估计保持强硬立场。,"尽管如此 l
， x
中国政府 nt
一直 d
对 p
30 m
万 m
遇难者 n
的 uj
估计 v
保持 v
强硬 a
立场 n
。 x
"
793,目前 IFP正在进入它的最后阶段。,"目前 t
  x
IFP eng
正在 t
进入 v
它 r
的 uj
最后 f
阶段 n
。 x
"
794,我们还利用下列简单的观察。,"我们 r
还 d
利用 n
下列 v
简单 a
的 uj
观察 v
。 x
"
795,同样在这个时期，计算机开始在大型企业和大学使用。,"同样 d
在 p
这个 r
时期 n
， x
计算机 n
开始 v
在 p
大型 b
企业 n
和 c
大学 n
使用 v
。 x
"
796,CAMFED（英语：CAMFED）是提供次撒哈拉非洲女孩教育的组织。,"CAMFED eng
（ x
英语 nz
： x
CAMFED eng
） x
是 v
提供 v
次 q
撒哈拉 nrt
非洲 ns
女孩 n
教育 vn
的 uj
组织 v
。 x
"
797,2010年5月24日，奥斯本公布了62亿英镑的削减：“我们根本不能每周增加30亿英镑的公共债务。,"2010 m
年 m
5 m
月 m
24 m
日 m
， x
奥斯本 ns
公布 v
了 ul
62 m
亿英镑 m
的 uj
削减 v
： x
“ x
我们 r
根本 a
不能 v
每周 r
增加 v
30 m
亿英镑 m
的 uj
公共 b
债务 n
。 x
"
798,在这种情况下，波兰政府不得不提供证据。,"在 p
这种 r
情况 n
下 f
， x
波兰政府 nt
不得不 d
提供 v
证据 n
。 x
"
799,这种前所未有的发展被归结于摩根的银行风格。,"这种 r
前所未有 i
的 uj
发展 vn
被 p
归结 v
于 p
摩根 nz
的 uj
银行 n
风格 n
。 x
"
800,29日：苏联想要更多领土。,"29 m
日 m
： x
苏联 ns
想要 v
更 d
多 m
领土 n
。 x
"
801,它于2015年1月2日到达那里，移民乘坐巴士被分送意大利的其他地方。,"它 r
于 p
2015 m
年 m
1 m
月 m
2 m
日 m
到达 v
那里 r
， x
移民 n
乘坐 v
巴士 ns
被 p
分送 v
意大利 ns
的 uj
其他 r
地方 n
。 x
"
802,她将许多食物的选择归功于她的希腊式教养。,"她 r
将 d
许多 m
食物 n
的 uj
选择 v
归功于 v
她 r
的 uj
希腊式 nz
教养 n
。 x
"
803,据报道，约翰在他42岁生日时曾租下整个楼层。,"据 p
报道 v
， x
约翰 nrt
在 p
他 r
42 m
岁 m
生日 t
时 ng
曾 d
租下 v
整个 b
楼层 n
。 x
"
